userName,score,at,content
Fellie Bin,1,2026-04-25 00:16:59,"1 saja karena tidak seperti apk yg lama, mudah, kalau yang sekarang jangankan saya, petugas spbu pun menyerah membantu mendaftarkannya, selalu salah katanya dan ditolak terus jadi apk yg baru ini tak ada guna"
Iwan Puji,1,2026-04-24 23:48:54,susah sekali pakai banget cara daftar BBM subsidi.....
Radar Pentur,1,2026-04-24 22:24:21,otp imel gak masuk - masuk
Ramdhan Ilyas,1,2026-04-24 20:50:31,"mau daftar email malah gak dapat kode otp ke email,di ulang tetap gak ada kode otp masuk ke email.. parah"
Abie stiegma,4,2026-04-24 17:48:36,"kenapa ya 1 barcode bisa ada 2 mobil. ketika ahendak mengisi pertalite, ternyata barcode saya sudah ada yg memakai.. pdhl saya sama sekali blm isi atau blm pakai barcode hari itu."
Mastur Cms,2,2026-04-24 17:40:52,barkode saya malah eror kadi gk bisa di pake min
Mass Jenk,5,2026-04-24 17:16:06,sangat memudahkan kita dalam transaksi
Nana Supriyatna,5,2026-04-24 16:04:41,bagus
Edbert Linggajati,1,2026-04-24 15:42:35,"VERIFIKASI , OTP DIKASI WAKTU 30 DETIK , DIKIRIMKAN 2 MINGGU !!!! SCAM !!!!!!!!"
surya ndut,4,2026-04-24 15:05:04,"hallo admin apa bisa transaksi pengisian di beri keterangan pengisian bahan bakarnya di spbu mana, bnyak transaksi yang terdeteksi di aplikasi sya. karna jatah saya berkurang tanpa sya pakai."
Anselmus Mahartiara,2,2026-04-24 14:12:18,verifikasi data terlalu lama sehingga sedikit menyusahkan dan kurang membantu
O N,5,2026-04-24 13:46:18,Terimakasih sangat membantu
widi 333,5,2026-04-24 13:08:36,"kenapa virfiksi nya lama, sudah dua hari Masih menunggu"
Hendra Doni,1,2026-04-24 11:58:43,buat daftar susah buat bayar susah mau ambil barcode susah
wayan ardana,1,2026-04-24 10:07:28,buat barcode di persulit
Dwi Pusparani Irawan Irawan,1,2026-04-24 09:56:01,"tolong dong di bantu aplikasnya di bikin yg bener kalo memang barcode kita di haruskan update .. ini udah hampir 2 mgg semenjak barcode tidak bs di gunakan di SPBU yg katanya harus update ga bisa di gunakan aplikasinya.. otp email ga masuk2, pake data lama katanya ""tidak ditemukan"" jadi harus gimana ?? ko jadi di persulit"
Roma Andeska,5,2026-04-24 09:45:16,good
Habib And Friends,1,2026-04-24 09:36:39,proses verifikasi sangat lama
Eko Nur joko,5,2026-04-24 08:58:22,tingkatkan kualitas dan layanan
Alfimuftadi official,1,2026-04-24 08:57:04,"aplikasi ga jelas, di suruh verifikasi udah kirim dan berhasil, tapi pas kembali beranda, verifikasi data diri lagi. suruh verifikasi email, kirim kode otp tapi gada kode otp yg masuk"
anang boz,1,2026-04-24 08:46:35,"masukin OTP email.kenapa ga masuk2,,,,heran seheran2nya,,kenapa setiap aplikasi pemerintahan ko ada aja masalahnya....pada becus bikin aplikasi ga sih pemerintah."
Jhon Tral,1,2026-04-24 08:43:38,Pemakaian aplikasi yang sangat ribet dan menyusahkan rakyat. Aplikasi modus para koruptor.
Alfin alfian RS Hermina Bogor,3,2026-04-24 07:50:03,"daftar sulit verikasi email sulit , semua verikasi sulit"
Faris Ariandi,1,2026-04-24 07:25:05,aplikasi gak jelas gak bisa verifikasi email
Yogi Hidayatuloh,3,2026-04-24 06:36:08,otp email-nya gak muncul muncul sudah 3jam terus di coba gimana ini hadeuh
Restu Ananjar,1,2026-04-24 06:31:07,"nunggu verifikasi udah 4hari sampe sekarang,belum ada kepastian 👎🏻"
Irwansyah17 Irwan,1,2026-04-24 06:26:46,"point udah banyak mau nukerin voucher yg berguna swperti gopay, ovo, unipin ngak pernah ada. stock selalu abis. ANEH"
MEDIA NET,1,2026-04-24 05:41:03,daftar subsidi tepat susah sekali tidak ada konfirmasi masuk ke email. daftar ke pertamina langsung juga pakai email tapi tidak ada konfirmasi ke email sama sekali alasannya aplikasi sedang eror
Dzulfadhli Asyari,4,2026-04-24 05:38:42,OTP lambat skali susah login...
Yudhie Pw,1,2026-04-24 04:29:21,mentang2 non subsidi naik barkode dibikin kadaluwarsa. giliran mau daftar susahnya minta ampun. maunya apasih pertamina
kukuh stevig,1,2026-04-24 04:18:00,"Bukan malah mempermudah malah mempersulit warga,semua data udah sama semua,trus kalok mobilnya belinya bekas terus nama pemilik beda sama sebelumnya gimana,gagal terus jadinya,tolong dong di mengerti bukan malah mempersulit gini,makin lama kok makin sulit dah toololl"
Mukhtar Udin,1,2026-04-24 04:11:54,"susah untuk mendapatkan barcode,bolak balik foto katanya kurang jelas terus fotonya,bikin barcode susahnya minta ampun,kebanyakan karyawan tapi lelet"
Hisham Ramadhan,1,2026-04-24 02:47:52,aplikasi meyusahkan dah gitu aja
Arin Baru,5,2026-04-24 02:39:01,proses cepat
jose dwijaksono,2,2026-04-24 02:18:48,"aplikasi sering error (tidak bisa dibuka) ketika akan melakukan pembayaran, padahal sinyal bagus"
Andri Setiawan,1,2026-04-24 01:53:18,"aplikasi macam apa ini peraturan bikin nyusahin,sudah bolak balik daftar ga bisa,sudah Dateng ke pom minta bantuan juga ga bisa"
Yuni Syara Munte,1,2026-04-24 01:43:57,"ribet, kirim kode otp aja berkali2 nggak masuk. udh jelas2 alamat email aktif d bilng nggak aktf. sistemnya belum mampu nih. udh perbarui pswrd, ekh begitu lgsung mau login pswrd slh. coba LG tiba2 nik tidak terdaftar. nggak jelas"
Heber Simanjuntak,3,2026-04-24 01:37:30,"verifikasi email tidak bisa, berulang-ulang kirim OTP tidak ada email masuk sama sekali."
Nachuumii - Alif Nizar Vlog,1,2026-04-24 01:19:04,ini ulasan jelek pada dihapus ya?
Sunarti Sabir,3,2026-04-24 00:27:11,tidak ada email masuk untuk lanjut otp daftar baru. harap dicek sistemnya
